"Nice";85;92,5;76;86,5
"Toulon";78;87;84,5;91,5
"Marseille";69;78,5;83,5;90,5
"Montpelier";55,5;66,5;83;90
"Carcassone";50;59;89,5;95,5
"Foix";42,5;50;90,5;98,5
"Tarbes";34,5;40;88,5;97
"Pau";22,5;35;86;95,5
"Digne-Les-Bains";77,5;86;77,5;83,5
"Avignon";71;77,5;78;84,5
"Nimes";61;71,5;78,5;85,5
"Albi";48,5;56;79,5;84
"Toulouse";44;49;83;90,5
"Auch";34;43,5;81;89
"Mont-De-Marsan";24,5;34,5;76,5;86,5
"Rodez";51;59;73;83,5
"Gap";77;87;70;75,5
"Valence";70,5;77;67;77,5
"Privas";64;70,5;69;77
"Mende";58,5;65;71;79,5
"Cahors";44;51,5;69,5;78,5
"Agen";35,5;43,5;73;80,5
"Montauban";41;49,5;78,5;83
"Bordeaux";26,5;36,5;65,5;76,5
"Grenoble";72,5;76,5;59;70,5
"Le Puy En-Velay";59,5;68;64,5;72
"Aurillac";51,5;60;64;72,5
"Périgueux";36,5;46,5;62;73,5
"Chambéry";77;87,5;59;67,5
"Annecy";77,5;86,5;52;59
"Bourge-En-Bresse";70;77,5;51,5;59
"Lyon";67,5;72,5;54;62,5
"Saint-Etienne";63;68;55;64,5
"Clermont Ferrand";54;63,5;56;65
"Tulle";45;54;61;69
"Angoulème";34;41;56;66
"La Rochelle";27;34,5;53,5;65
"Limoges";42,5;49;52,5;64
"Guéret";47;55;52;60,5
"Lons-Le-Saunier";74,5;81;41,5;53,5
"Mâcon";63;74,5;45;54
"Moulins";53;64,5;48,5;56,5
"Pomers";36,5;44,5;45;55,5
"Niort";32;34;44;56,5
"La Roche-SurYon";22;32;44,5;53
"Châteauroux";43;52;42,5;52,5
"Bourges";50,5;58;38,5;50,5
"Nevers";58;65;39;49
"Tours";37;46;36,5;47
"Dijon";65;75;32,5;46
"Besançon";76,5;86;38,5;47,5
"Belfort";83,5;86;35;38,5
"Colmar";83,5;89,5;28,5;39
"Vesoul";75;84;32,5;41
"Auxerre";57,5;67;28,5;40
"Orléans";47,5;57,5;30;38
"Blois";42;52;33,5;42
"Angers";29;38;35,5;44,5
"Nantes";19,5;28,5;36;45,5
"Vannes";13;22,5;30;38
"Quimper";4,5;13;22,5;33,5
"Perpignan";48,5;59;95;100
"Saint-Brieuc";12,5;24;21,5;30,5
"Rennes";21,5;30;25;35,5
"Laval";29,5;36;27;36
"Le Mans";34,5;43;27,5;38
"Chartres";43;51;24;33,5
"Aleçon";32;43;21,5;28
"Saint-Lô";25,5;31;11,5;26,5
"Caen";30,5;40,5;16;22,5
"Epinal";75,5;86;27;33,5
"Chaumont";69,5;77;25;37,5
"Troyes";60;70,5;25;34
"Nancy";76;85,5;14;27,5
"Strasbourg";85;93;19;30
"Metz";77;88,5;14,5;25
"Bar-Le-Duc";70,5;76,5;13,5;28
"Châlong-En-Champagne";60,5;71;16;26,5
"Charleville-Mézières";64,5;73;7;19,5
"Laon";58;64,5;8,5;22,5
"Beauvais";49;58;13;21,5
"Rouen";28;49;9;18
"Amiens";46,5;58,5;4,5;13,5
"Arras";48;58,5;0;8,5
"Lille";53;65,5;0;9
"Bastia";91;99,5;83,5;97,5
"Ajaccio";91,5;99;92;100
"Créteil Melun";54;61,5;10,5;31,5
"Evry";50;54,5;24;29,5
"Paris";51;54,5;21,5;24,5
"Nanterre Versailles";46,5;51,5;20,5;26,5
"Evreux";40;48,5;15,5;24,5
"Bobigny";54,28;60,5;20;25
